"slug","name"
1,"3il","3il Ecole d'ingénieur en informatique"
2,"Advancia Negocia","Advancia Negocia"
3,"AgroParisTech","AgroParisTech" 
4,"AgroSup Dijon","AgroSup Dijon"
5,"Arts et Métiers ParisTech","Arts et Métiers ParisTech"
6,"AUDENCIA","AUDENCIA Nantes" 
7,"BEM","Bordeaux management school"
8,"CPE Lyon","Ecole supérieure de chimie physique électronique de Lyon"
9,"EA","Ecole de l'air"
10,"EBI","Ecole de biologie industrielle"
11,"EC Lille","Ecole centrale de Lille"
12,"EC Lyon","Ecole centrale de Lyon"
13,"EC Marseille","Ecole centrale de Marseille"
14,"EC Nantes","Ecole centrale de Nantes"
15,"EC Paris","Ecole centrale Paris"
16,"ECAM Lyon","Ecole catholique d'arts et métiers"
17,"ECAM Rennes","Ecole catholique d'arts et métiers"
18,"ECE","Ecole centrale d'électronique"
19,"ECPM","Ecole européenne de chimie polymères et matériaux de Strasbourg"
20,"EDC","Ecole des Dirigeants et Créateurs d’Entreprises"
21,"EDHEC","EDHEC Business School"
22,"EFREI","Ecole d'ingénieur"
23,"EI Purpan","Ecole d'ingénieurs de Purpan"
24,"EI CESI","Ecole d'ingénieurs du cesi"
25,"EIGSI","Ecole d'ingénieurs en génie des systèmes industriels"
26,"EISTI","Ecole internationale des sciences du traitement de l'information"
27,"EIVP","Ecole des ingénieurs de la ville de Paris"
28,"EM Lyon Business School","Ecole de management de Lyon"
29,"EM Normandie","Ecole de management de Normandie"
30,"EM Nantes","Ecole des mines de Nantes"
31,"EM Strasbourg","Ecole de management Strasbourg"
32,"EMA","Ecole des mines d'Alès"
33,"EMAC","Ecole des mines d'Albi Carmaux"
34,"EMD","Ecole des mines de Douai"
35,"EME" ,"Ecole des Métiers de l’Environnement"
36,"EMG","Grenoble Ecole de management"
37,"EMN","Ecole des mines de Nancy"
38,"EMP","Ecole des mines  ParisTech"
39,"EMST","Ecole des mines de Saint-Etienne"
40,"EN","Ecole navale"
41,"ENAC","Ecole nationale de l'aviation civile"
42,"ENGEES","Ecole nationale du génie de l'eau et de l'environnement de Strasbourg"
43,"ENIB","Ecole nationale d'ingénieurs de Brest"
44,"ENIM","Ecole nationale d'ingénieurs de Metz"
